"","year","est","lwr","upr","log_est","se","type"
"1",1972,55484.8633636785,12516.0437263511,245969.903093619,10.9238655303504,0.759758313763563,"index"
"2",1973,27924.8535476376,5355.61903978892,145603.606205669,10.2372723794344,0.842551606011889,"index"
"3",1974,64162.1823027306,19693.5762566587,209042.05433266,11.0691692554085,0.602624069378957,"index"
"4",1975,71942.1824153544,20179.0436821292,256487.754931012,11.1836180533943,0.648592606816196,"index"
"5",1976,245824.954657626,74107.2677132158,815438.353040871,12.4123749951985,0.611800073053267,"index"
"6",1977,147054.502181633,37142.7923126202,582213.271147641,11.8985585601856,0.702070831672507,"index"
"7",1978,197184.651643474,56402.41446842,689363.872277634,12.1918958866991,0.638597775407196,"index"
"8",1979,176590.357838219,50638.504106651,615819.030035965,12.0815879667838,0.637318062991498,"index"
"9",1980,177988.444100938,39050.6722989497,811250.725491986,12.0894739063855,0.773921636758806,"index"
"10",1981,278708.112648272,66624.1246458857,1165917.187938,12.5379203219386,0.73016561037265,"index"
"11",1982,231235.478745969,50947.2774234959,1049513.32701084,12.351191858791,0.771771966087604,"index"
"12",1983,125750.170437947,30412.5630089807,519953.065465188,11.7420524433324,0.724218095652376,"index"
"13",1984,66791.9406955683,14708.3665775428,303307.870276483,11.1093377039762,0.772037624220345,"index"
"14",1985,82596.9685735185,10477.1869472528,651153.716344027,11.3217282587571,1.05347484661137,"index"
"15",1986,102121.383351939,15514.6594841259,672188.580637816,11.5339174176007,0.961434395401821,"index"
"16",1987,71227.6593766104,7772.71498261475,652716.518181624,11.173636496354,1.13025632760936,"index"
"17",1988,76837.0705244144,10058.212766165,586976.587593595,11.2494424917988,1.03741585937564,"index"
"18",1989,213306.757818971,41493.9845144445,1096539.01556265,12.2704865861843,0.835312717399447,"index"
"19",1990,184036.566699951,27351.1163930699,1238320.85666847,12.1228897489115,0.972659262196783,"index"
"20",1991,248200.635279969,43129.7169560784,1428332.01099175,12.421992711298,0.892886398963477,"index"
"21",1992,123065.151520504,32023.8965359736,472929.067259247,11.7204691812784,0.686865433272151,"index"
"22",1993,65917.4006961227,14875.5445210017,292097.120101967,11.0961577326185,0.759546557060887,"index"
"23",1994,153495.776705144,43390.3327399709,543000.064265725,11.9414283323094,0.644622245574726,"index"
"24",1995,222938.607886699,66086.7209021174,752066.711859919,12.3146517115835,0.620383134376209,"index"
"25",1996,46866.2760792598,10497.4489101445,209236.344214526,10.7550536356429,0.763364072889746,"index"
"26",1997,33267.0268355085,6493.95234470931,170419.340292215,10.4123220002915,0.833533370459406,"index"
"27",1998,18678.7849952359,3611.53098218107,96606.4006150502,9.83514366658585,0.838411635793565,"index"
"28",1999,9558.73064464069,1603.13013323565,56994.332301882,9.16521021947245,0.910984540115979,"index"
"29",2000,10861.8357346676,1337.10640127786,88234.9193857358,9.2930106155443,1.06876834269627,"index"
"30",2001,31206.9455260972,3865.72170088131,251925.390502574,10.3483959620389,1.06557687164508,"index"
"31",2002,199129.723797293,37160.0068463129,1067078.56819247,12.2017117697046,0.856507265327113,"index"
"32",2003,58132.4315871188,8760.34051493438,385758.93214082,10.9704789899791,0.965573321838581,"index"
"33",2004,28924.8080388762,5742.02045768743,145705.59722854,10.2724549155274,0.824958266983919,"index"
"34",2005,25972.9444052578,5499.18127984527,122671.686338297,10.164810675406,0.792084030993133,"index"
"35",2006,117590.357748297,27972.1734963871,494330.275663367,11.6749623191489,0.732664905666273,"index"
"36",2007,409407.942834044,108859.038663778,1539742.27324658,12.922467353179,0.675858466083776,"index"
"37",2008,311784.206405638,107031.585844854,908230.8796667,12.6500665813583,0.545513756935117,"index"
"38",2009,770824.0960511,262899.458942863,2260064.70094002,13.5552154761275,0.548830760121392,"index"
"39",2010,310675.750290922,149293.136694231,646509.437446612,12.646505043706,0.373903825230422,"index"
"40",2011,289798.825315511,129280.198581567,649622.757976057,12.5769422554289,0.411846774728687,"index"
"41",2012,482943.810600573,219611.183101883,1062034.82401531,13.0876555917071,0.402069469505658,"index"
"42",2013,155358.255281466,64603.995108251,373602.088286619,11.9534890532965,0.447690635429173,"index"
"43",2014,217199.707402135,106656.182227136,442315.784331258,12.2885725199054,0.362867295449815,"index"
"44",2015,415825.63818408,179942.117132966,960925.458287385,12.9380213123995,0.427370509015995,"index"
"45",2016,760216.598212369,384152.091516604,1504428.29535553,13.5413586693063,0.348253768884645,"index"
"46",2017,508286.17836576,241524.264292145,1069684.81976273,13.1387999111821,0.379636920251684,"index"
"47",2018,598530.286534094,293838.049771879,1219169.89367681,13.3022324067668,0.362990528881184,"index"
"48",2019,1806624.27998004,1035684.07714405,3151435.23111192,14.4069706232068,0.283881702490888,"index"
"49",2020,417006.069430294,219437.585868987,792453.404247368,12.9408560556637,0.327573841408921,"index"
"50",2021,2324732.81197905,1290295.55184031,4188484.2890328,14.6591156708209,0.30037991280191,"index"
"51",2022,3015415.72138219,1767290.28119777,5145013.28361084,14.9192482630104,0.272602073456186,"index"
"52",2023,686175.632836033,333376.236528185,1412329.21698702,13.4388888984817,0.368303669647636,"index"
