,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2023,CONNECTICUT,MENHADENS **,"202,157",92,"50,511",Public,Commercial,Brevoortia ,161731,ACCSP
2023,MAINE,MENHADENS **,"14,596,515","6,621","6,431,102",Public,Commercial,Brevoortia ,161731,ACCSP
2023,MARYLAND,MENHADENS **,"3,125,593","1,418","654,843",Public,Commercial,Brevoortia ,161731,ACCSP
2023,MASSACHUSETTS,MENHADENS **,"2,980,815","1,352","879,316",Public,Commercial,Brevoortia ,161731,ACCSP
2023,NEW HAMPSHIRE,MENHADENS **,"4,375,900","1,985","1,404,765",Public,Commercial,Brevoortia ,161731,ACCSP
2023,NEW JERSEY,MENHADENS **,"41,101,706","18,644","5,521,086",Public,Commercial,Brevoortia ,161731,ACCSP
2023,NEW YORK,MENHADENS **,"450,199",204,"115,699",Public,Commercial,Brevoortia ,161731,ACCSP
2023,NORTH CAROLINA,MENHADENS **,"619,374",281,"166,470",Public,Commercial,Brevoortia ,161731,ACCSP
2023,RHODE ISLAND,MENHADENS **,"159,875",73,"58,088",Public,Commercial,Brevoortia ,161731,ACCSP
2023,VIRGINIA,MENHADENS **,"290,941,497","131,970","43,815,789",Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2022,CONNECTICUT,MENHADENS **,"299,252",136,"67,664",Public,Commercial,Brevoortia ,161731,ACCSP
2022,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2022,MAINE,MENHADENS **,"19,335,722","8,771","8,371,853",Public,Commercial,Brevoortia ,161731,ACCSP
2022,MARYLAND,MENHADENS **,"4,982,957","2,260","862,810",Public,Commercial,Brevoortia ,161731,ACCSP
2022,MASSACHUSETTS,MENHADENS **,"10,425,267","4,729","4,078,897",Public,Commercial,Brevoortia ,161731,ACCSP
2022,NEW HAMPSHIRE,MENHADENS **,"4,986,600","2,262","1,996,040",Public,Commercial,Brevoortia ,161731,ACCSP
2022,NEW JERSEY,MENHADENS **,"47,549,602","21,568","11,437,571",Public,Commercial,Brevoortia ,161731,ACCSP
2022,NEW YORK,MENHADENS **,"1,095,609",497,"336,365",Public,Commercial,Brevoortia ,161731,ACCSP
2022,NORTH CAROLINA,MENHADENS **,"539,499",245,"166,501",Public,Commercial,Brevoortia ,161731,ACCSP
2022,RHODE ISLAND,MENHADENS **,"617,151",280,"243,983",Public,Commercial,Brevoortia ,161731,ACCSP
2022,SOUTH CAROLINA,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2022,VIRGINIA,MENHADENS **,"299,957,237","136,060","47,874,635",Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2021,CONNECTICUT,MENHADENS **,"179,177",81,"38,553",Public,Commercial,Brevoortia ,161731,ACCSP
2021,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2021,MAINE,MENHADENS **,"36,890,619","16,733","57,086,489",Public,Commercial,Brevoortia ,161731,ACCSP
2021,MARYLAND,MENHADENS **,"4,020,789","1,824","644,003",Public,Commercial,Brevoortia ,161731,ACCSP
2021,MASSACHUSETTS,MENHADENS **,"9,916,257","4,498","2,485,960",Public,Commercial,Brevoortia ,161731,ACCSP
2021,NEW HAMPSHIRE,MENHADENS **,"4,807,900","2,181","1,697,400",Public,Commercial,Brevoortia ,161731,ACCSP
2021,NEW JERSEY,MENHADENS **,"80,408,245","36,473","16,608,588",Public,Commercial,Brevoortia ,161731,ACCSP
2021,NEW YORK,MENHADENS **,"3,424,785","1,553","569,053",Public,Commercial,Brevoortia ,161731,ACCSP
2021,NORTH CAROLINA,MENHADENS **,"430,623",195,"116,007",Public,Commercial,Brevoortia ,161731,ACCSP
2021,RHODE ISLAND,MENHADENS **,"3,575,154","1,622","536,806",Public,Commercial,Brevoortia ,161731,ACCSP
2021,VIRGINIA,MENHADENS **,"301,349,508","136,691","46,646,123",Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2020,CONNECTICUT,MENHADENS **,"217,110",98,"102,380",Public,Commercial,Brevoortia ,161731,ACCSP
2020,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2020,MAINE,MENHADENS **,"10,896,429","4,943","2,801,787",Public,Commercial,Brevoortia ,161731,ACCSP
2020,MARYLAND,MENHADENS **,"3,492,261","1,584","966,247",Public,Commercial,Brevoortia ,161731,ACCSP
2020,MASSACHUSETTS,MENHADENS **,"8,821,142","4,001","7,937,229",Public,Commercial,Brevoortia ,161731,ACCSP
2020,NEW HAMPSHIRE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2020,NEW JERSEY,MENHADENS **,"90,583,260","41,088","51,472,734",Public,Commercial,Brevoortia ,161731,ACCSP
2020,NEW YORK,MENHADENS **,"4,400,250","1,996","849,893",Public,Commercial,Brevoortia ,161731,ACCSP
2020,NORTH CAROLINA,MENHADENS **,"599,742",272,"123,443",Public,Commercial,Brevoortia ,161731,ACCSP
2020,RHODE ISLAND,MENHADENS **,"198,487",90,"30,896",Public,Commercial,Brevoortia ,161731,ACCSP
2020,VIRGINIA,MENHADENS **,"273,480,005","124,050","57,126,386",Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2019,CONNECTICUT,MENHADENS **,"133,202",60,"26,685",Public,Commercial,Brevoortia ,161731,ACCSP
2019,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2019,MAINE,MENHADENS **,"8,975,045","4,071","2,475,485",Public,Commercial,Brevoortia ,161731,ACCSP
2019,MARYLAND,MENHADENS **,"4,309,025","1,955","648,772",Public,Commercial,Brevoortia ,161731,ACCSP
2019,MASSACHUSETTS,MENHADENS **,"6,964,323","3,159","1,314,355",Public,Commercial,Brevoortia ,161731,ACCSP
2019,NEW HAMPSHIRE,MENHADENS **,"4,540,800","2,060","791,716",Public,Commercial,Brevoortia ,161731,ACCSP
2019,NEW JERSEY,MENHADENS **,"77,991,508","35,377","13,718,296",Public,Commercial,Brevoortia ,161731,ACCSP
2019,NEW YORK,MENHADENS **,"973,953",442,"177,738",Public,Commercial,Brevoortia ,161731,ACCSP
2019,NORTH CAROLINA,MENHADENS **,"551,849",250,"138,037",Public,Commercial,Brevoortia ,161731,ACCSP
2019,RHODE ISLAND,MENHADENS **,"66,669",30,"16,163",Public,Commercial,Brevoortia ,161731,ACCSP
2019,SOUTH CAROLINA,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2019,VIRGINIA,MENHADENS **,"332,511,812","150,826","26,921,609",Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2018,CONNECTICUT,MENHADENS **,"849,690",385,"70,133",Public,Commercial,Brevoortia ,161731,ACCSP
2018,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2018,MAINE,MENHADENS **,"5,720,620","2,595","1,440,624",Public,Commercial,Brevoortia ,161731,ACCSP
2018,MARYLAND,MENHADENS **,"4,388,403","1,991","732,878",Public,Commercial,Brevoortia ,161731,ACCSP
2018,MASSACHUSETTS,MENHADENS **,"5,679,209","2,576","871,617",Public,Commercial,Brevoortia ,161731,ACCSP
2018,NEW HAMPSHIRE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2018,NEW JERSEY,MENHADENS **,"84,791,590","38,461","12,913,185",Public,Commercial,Brevoortia ,161731,ACCSP
2018,NEW YORK,MENHADENS **,"471,087",214,"98,274",Public,Commercial,Brevoortia ,161731,ACCSP
2018,NORTH CAROLINA,MENHADENS **,"713,978",324,"175,007",Public,Commercial,Brevoortia ,161731,ACCSP
2018,RHODE ISLAND,MENHADENS **,"731,717",332,"58,921",Public,Commercial,Brevoortia ,161731,ACCSP
2018,SOUTH CAROLINA,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2018,VIRGINIA,MENHADENS **,"311,543,671","141,315","27,716,057",Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2017,CONNECTICUT,MENHADENS **,"203,138",92,"35,387",Public,Commercial,Brevoortia ,161731,ACCSP
2017,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2017,MAINE,MENHADENS **,"2,413,434","1,095","681,840",Public,Commercial,Brevoortia ,161731,ACCSP
2017,MARYLAND,MENHADENS **,"3,568,447","1,619","648,195",Public,Commercial,Brevoortia ,161731,ACCSP
2017,MASSACHUSETTS,MENHADENS **,"3,696,974","1,677","637,244",Public,Commercial,Brevoortia ,161731,ACCSP
2017,NEW HAMPSHIRE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
