Year,State,NMFS.Name,Pounds,Metric.Tons,Dollars,Confidentiality,Collection,Scientific.Name,Tsn,Source
2023,CONNECTICUT,MENHADENS **,202157,92,50511,Public,Commercial,Brevoortia ,161731,ACCSP
2023,MAINE,MENHADENS **,14596515,6621,6431102,Public,Commercial,Brevoortia ,161731,ACCSP
2023,MARYLAND,MENHADENS **,3125593,1418,654843,Public,Commercial,Brevoortia ,161731,ACCSP
2023,MASSACHUSETTS,MENHADENS **,2980815,1352,879316,Public,Commercial,Brevoortia ,161731,ACCSP
2023,NEW HAMPSHIRE,MENHADENS **,4375900,1985,1404765,Public,Commercial,Brevoortia ,161731,ACCSP
2023,NEW JERSEY,MENHADENS **,41101706,18644,5521086,Public,Commercial,Brevoortia ,161731,ACCSP
2023,NEW YORK,MENHADENS **,450199,204,115699,Public,Commercial,Brevoortia ,161731,ACCSP
2023,NORTH CAROLINA,MENHADENS **,619374,281,166470,Public,Commercial,Brevoortia ,161731,ACCSP
2023,RHODE ISLAND,MENHADENS **,159875,73,58088,Public,Commercial,Brevoortia ,161731,ACCSP
2023,VIRGINIA,MENHADENS **,290941497,131970,43815789,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2022,CONNECTICUT,MENHADENS **,299252,136,67664,Public,Commercial,Brevoortia ,161731,ACCSP
2022,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2022,MAINE,MENHADENS **,19335722,8771,8371853,Public,Commercial,Brevoortia ,161731,ACCSP
2022,MARYLAND,MENHADENS **,4982957,2260,862810,Public,Commercial,Brevoortia ,161731,ACCSP
2022,MASSACHUSETTS,MENHADENS **,10425267,4729,4078897,Public,Commercial,Brevoortia ,161731,ACCSP
2022,NEW HAMPSHIRE,MENHADENS **,4986600,2262,1996040,Public,Commercial,Brevoortia ,161731,ACCSP
2022,NEW JERSEY,MENHADENS **,47549602,21568,11437571,Public,Commercial,Brevoortia ,161731,ACCSP
2022,NEW YORK,MENHADENS **,1095609,497,336365,Public,Commercial,Brevoortia ,161731,ACCSP
2022,NORTH CAROLINA,MENHADENS **,539499,245,166501,Public,Commercial,Brevoortia ,161731,ACCSP
2022,RHODE ISLAND,MENHADENS **,617151,280,243983,Public,Commercial,Brevoortia ,161731,ACCSP
2022,SOUTH CAROLINA,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2022,VIRGINIA,MENHADENS **,299957237,136060,47874635,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2021,CONNECTICUT,MENHADENS **,179177,81,38553,Public,Commercial,Brevoortia ,161731,ACCSP
2021,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2021,MAINE,MENHADENS **,36890619,16733,57086489,Public,Commercial,Brevoortia ,161731,ACCSP
2021,MARYLAND,MENHADENS **,4020789,1824,644003,Public,Commercial,Brevoortia ,161731,ACCSP
2021,MASSACHUSETTS,MENHADENS **,9916257,4498,2485960,Public,Commercial,Brevoortia ,161731,ACCSP
2021,NEW HAMPSHIRE,MENHADENS **,4807900,2181,1697400,Public,Commercial,Brevoortia ,161731,ACCSP
2021,NEW JERSEY,MENHADENS **,80408245,36473,16608588,Public,Commercial,Brevoortia ,161731,ACCSP
2021,NEW YORK,MENHADENS **,3424785,1553,569053,Public,Commercial,Brevoortia ,161731,ACCSP
2021,NORTH CAROLINA,MENHADENS **,430623,195,116007,Public,Commercial,Brevoortia ,161731,ACCSP
2021,RHODE ISLAND,MENHADENS **,3575154,1622,536806,Public,Commercial,Brevoortia ,161731,ACCSP
2021,VIRGINIA,MENHADENS **,301349508,136691,46646123,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2020,CONNECTICUT,MENHADENS **,217110,98,102380,Public,Commercial,Brevoortia ,161731,ACCSP
2020,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2020,MAINE,MENHADENS **,10896429,4943,2801787,Public,Commercial,Brevoortia ,161731,ACCSP
2020,MARYLAND,MENHADENS **,3492261,1584,966247,Public,Commercial,Brevoortia ,161731,ACCSP
2020,MASSACHUSETTS,MENHADENS **,8821142,4001,7937229,Public,Commercial,Brevoortia ,161731,ACCSP
2020,NEW HAMPSHIRE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2020,NEW JERSEY,MENHADENS **,90583260,41088,51472734,Public,Commercial,Brevoortia ,161731,ACCSP
2020,NEW YORK,MENHADENS **,4400250,1996,849893,Public,Commercial,Brevoortia ,161731,ACCSP
2020,NORTH CAROLINA,MENHADENS **,599742,272,123443,Public,Commercial,Brevoortia ,161731,ACCSP
2020,RHODE ISLAND,MENHADENS **,198487,90,30896,Public,Commercial,Brevoortia ,161731,ACCSP
2020,VIRGINIA,MENHADENS **,273480005,124050,57126386,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2019,CONNECTICUT,MENHADENS **,133202,60,26685,Public,Commercial,Brevoortia ,161731,ACCSP
2019,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2019,MAINE,MENHADENS **,8975045,4071,2475485,Public,Commercial,Brevoortia ,161731,ACCSP
2019,MARYLAND,MENHADENS **,4309025,1955,648772,Public,Commercial,Brevoortia ,161731,ACCSP
2019,MASSACHUSETTS,MENHADENS **,6964323,3159,1314355,Public,Commercial,Brevoortia ,161731,ACCSP
2019,NEW HAMPSHIRE,MENHADENS **,4540800,2060,791716,Public,Commercial,Brevoortia ,161731,ACCSP
2019,NEW JERSEY,MENHADENS **,77991508,35377,13718296,Public,Commercial,Brevoortia ,161731,ACCSP
2019,NEW YORK,MENHADENS **,973953,442,177738,Public,Commercial,Brevoortia ,161731,ACCSP
2019,NORTH CAROLINA,MENHADENS **,551849,250,138037,Public,Commercial,Brevoortia ,161731,ACCSP
2019,RHODE ISLAND,MENHADENS **,66669,30,16163,Public,Commercial,Brevoortia ,161731,ACCSP
2019,SOUTH CAROLINA,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2019,VIRGINIA,MENHADENS **,332511812,150826,26921609,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2018,CONNECTICUT,MENHADENS **,849690,385,70133,Public,Commercial,Brevoortia ,161731,ACCSP
2018,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2018,MAINE,MENHADENS **,5720620,2595,1440624,Public,Commercial,Brevoortia ,161731,ACCSP
2018,MARYLAND,MENHADENS **,4388403,1991,732878,Public,Commercial,Brevoortia ,161731,ACCSP
2018,MASSACHUSETTS,MENHADENS **,5679209,2576,871617,Public,Commercial,Brevoortia ,161731,ACCSP
2018,NEW HAMPSHIRE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2018,NEW JERSEY,MENHADENS **,84791590,38461,12913185,Public,Commercial,Brevoortia ,161731,ACCSP
2018,NEW YORK,MENHADENS **,471087,214,98274,Public,Commercial,Brevoortia ,161731,ACCSP
2018,NORTH CAROLINA,MENHADENS **,713978,324,175007,Public,Commercial,Brevoortia ,161731,ACCSP
2018,RHODE ISLAND,MENHADENS **,731717,332,58921,Public,Commercial,Brevoortia ,161731,ACCSP
2018,SOUTH CAROLINA,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2018,VIRGINIA,MENHADENS **,311543671,141315,27716057,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
2017,CONNECTICUT,MENHADENS **,203138,92,35387,Public,Commercial,Brevoortia ,161731,ACCSP
2017,DELAWARE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2017,MAINE,MENHADENS **,2413434,1095,681840,Public,Commercial,Brevoortia ,161731,ACCSP
2017,MARYLAND,MENHADENS **,3568447,1619,648195,Public,Commercial,Brevoortia ,161731,ACCSP
2017,MASSACHUSETTS,MENHADENS **,3696974,1677,637244,Public,Commercial,Brevoortia ,161731,ACCSP
2017,NEW HAMPSHIRE,MENHADENS **,,,,Confidential,Commercial,Brevoortia ,161731,ACCSP
2017,NEW JERSEY,MENHADENS **,98654475,44749,16650640,Public,Commercial,Brevoortia ,161731,ACCSP
2017,NEW YORK,MENHADENS **,1634042,741,232278,Public,Commercial,Brevoortia ,161731,ACCSP
2017,NORTH CAROLINA,MENHADENS **,752799,341,160181,Public,Commercial,Brevoortia ,161731,ACCSP
2017,RHODE ISLAND,MENHADENS **,1752756,795,136893,Public,Commercial,Brevoortia ,161731,ACCSP
2017,VIRGINIA,MENHADENS **,284226224,128924,22865271,Public,Commercial,Brevoortia ,161731,EXCEPTIONS
